"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"1","Layde Steel Slu","BARRIO EGUZKITZA (CR.DURANGO-ELORRIO KM 1), 11",43.162557,-2.620704,"12/03/1999","2432 - Laminación en frío","Gestión de centro de servicios de transformación y venta de acero y laminación en frío.","Mayor de 30 millones €","2017: 
2018: 27,34 %
2019: 1,08 %","Entre 50 y 250","2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %","946217850","Activa","http://www.layde.es","  -","","NO","Importa y Exporta","5.000.000 €","149 (año 2020)","2020","Negativo Consultar","Durango"
"2","Ona Electroerosion, Sa","BARRIO EGUZKITZA, 1",43.16312,-2.618605,"15/12/1980","2829 - Fabricación de otra maquinaria de uso general n.c.o.p.","Construcción de maquina herramientas y equipo mecánicos de electroerosión.","Entre 6 y 30 millones €","2017: 
2018: 9,65 %
2019: -17,74 %","Entre 50 y 250","2015: 94,00 %
2016: 83,89 %
2017: 84,80 %
2018: 87,50 %
2019: 96,06 %","2015: 6,00 %
2016: 16,10 %
2017: 15,20 %
2018: 12,50 %
2019: 3,93 %","946200800","Activa","http://www.onaedm.com","Home -ONA EDM- -","https://www.facebook.com/Onaedm/, https://www.linkedin.com/company/ona-edm/?originalSubdomain=es","NO","Exporta","2.520.413,7 €","110 (año 2020)","2020","Positivo Consultar","Durango"
"3","Jesus Oñate Sociedad Anonima.","CALLE LARROSOLOETA, 8",43.16600127,-2.62705278,"11/02/1949","2594 - Fabricación de pernos y productos de tornillería","Fabricación de pernos, productos de tornillería y piezas especiales para automoción.","Entre 6 y 30 millones €","2017: 
2018: 1,6 %
2019: -2,9 %","Entre 50 y 250","2015: 91,20 %
2016: 95,29 %
2017: 92,47 %
2018: 96,73 %
2019: 96,73 %","2015: 8,79 %
2016: 4,70 %
2017: 7,52 %
2018: 3,26 %
2019: 3,26 %","946201800","Activa","http://www.jesusonate.com","FORJA EN FRÍO DE PIEZAS TÉCNICAS, TORNILLERÍA y MECANIZADOS CNC para los sectores de automoción, obra civil, electrificación, etc. -","","NO","Importa y Exporta","542.399,99 €","93 (año 2020)","2020","Positivo Consultar","Durango"
"4","Fundiciones Fumbarri Durango Sa","CALLE SANROKEBIDE, 22",43.16895281,-2.64169777,"19/07/1995","2453 - Fundición de metales ligeros","TRATAMIENTO DE MATERIALES DE FUNDICION, MECANIZADO DE PIEZAS.","Entre 6 y 30 millones €","2017: 
2018: 10,88 %
2019: -7,5 %","Entre 50 y 250","2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %
2019: 0 %","946217120","Activa","http://www.fumbarri.com","Fabricación y desarrollo de piezas de fundición pesada y piezas seriada de tamaño medio pequeño. Experiencia y garantía que nos coloca como fundidor referente en Europa. -","https://www.linkedin.com/company/fumbarri/","NO","Importa y Exporta","625.040 €","81 (año 2020)","2020","Positivo Consultar","Durango"
"5","Fundiciones San Antonio De Urkiola, Sl","CALLE TABIRABIDE, 39",43.15914475,-2.63291952,"20/03/2001","2451 - Fundición de hierro","Fundición de piezas de hierro","Entre 6 y 30 millones €","2017: 
2018: -2,45 %
2019: -2,73 %","Entre 50 y 250","2015: 96,97 %
2016: 97,26 %
2017: 97,36 %
2018: 98,64 %
2019: 98,70 %","2015: 3,03 %
2016: 2,74 %
2017: 2,63 %
2018: 1,35 %
2019: 1,29 %","946811400","Activa","http://www.funsan.com","- -","","NO","Importa y Exporta","1.795.296 €","90 (año 2020)","2020","Positivo Consultar","Durango"
"6","Montorretas, Sa","CARRETERA DURANGO BEASAIN (ELORRIO), 20",43.169641,-2.637777,"01/07/1985","2445 - Producción de otros metales no férreos","Fabricación de perdigones de plomo","Entre 6 y 30 millones €","2017: 
2018: -23,43 %
2019: 11,17 %","Entre 5 y 25","2015: 100,00 %
2016: 100,00 %
2017: 100,00 %
2018: 100,00 %","2015: 0 %
2016: 0 %
2017: 0 %
2018: 0 %","946810621","Activa","http://www.montorretas.es","Elaboración de productos con plomo Montorretas","","NO","Importa y Exporta","61.290 €","15 (año 2020)","2020","Positivo Consultar","Durango"
"7","Metalbema Sociedad Limitada.","CALLE HARITZ, 23",43.167598,-2.630828,"09/11/2001","4677 - Comercio al por mayor de chatarra y productos de desecho","COMERCIO MAYOR DE MATERIALES NO FERRICOS CHATARRA.","Entre 6 y 30 millones €","2017: 
2018: 10,86 %","Entre 5 y 25","2002: 100,00 %
2003: 100,00 %
2017: 100,00 %
2018: 100,00 %","2002: 0 %
2003: 0 %
2017: 0 %
2018: 0 %","946582412","Activa","http://www.metalbema.com","Empresa dedicada al reciclaje y reutilización de metales férricos -","","NO","Exporta","7.212 €","6 (año 2018)","2018","Negativo Consultar","Durango"
"8","Suministros Mugarra Sl","CALLE ALLUITZ, 7",43.17118264,-2.6391474,"26/12/1989","4771 - Comercio al por menor de prendas de vestir en establecimientos especializados","Comercio menor de ropa laboral y equipos de protección individual","Entre 3 y 6 millones €","2016: 
2017: 15,85 %
2018: 14,01 %","Entre 5 y 25","2014: 77,77 %
2015: 77,77 %
2016: 61,53 %
2017: 69,23 %
2018: 92,30 %","2014: 22,22 %
2015: 22,22 %
2016: 38,46 %
2017: 30,76 %
2018: 7,69 %","946819000","Activa","http://www.mugarraproteccion.com","- -","","NO","No constan","202.446,85 €","16 (año 2020)","2020","Positivo Consultar","Durango"
"9","Asfaltos Y Hormigones Aubide Sl","CALLE TXATXIENA, 4 - 6 BAJO",43.1690146,-2.62837483,"25/11/2014","2363 - Fabricación de hormigón fresco","LA FABRICACION, COLOCACION, VENTA Y COMERCIALIZACION EN CUALQUIER FORMA DE ASFALTOS.","Entre 6 y 30 millones €","2017: 
2018: 54,93 %
2019: 52,92 %","Entre 5 y 25","2015: 100,00 %
2016: 100,00 %
2017: 9,09 %
2018: 90,90 %
2019: 100,00 %","2015: 0 %
2016: 0 %
2017: 90,90 %
2018: 9,09 %
2019: 0 %","-","Activa","-","-","-","NO","No constan","2.000.000 €","12 (año 2019)","2019","Positivo Consultar","Durango"
"10","Domingo Azpiri Sa","CAMINO ASTOLA, 12 - 14",43.1639047,-2.61784837,"02/06/1980","4673 - Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","VENTA DE MATERIALES DE SANEAMIENTO EN GENERAL","Entre 3 y 6 millones €","2016: 
2017: 6,26 %
2018: -12,64 %","Entre 5 y 25","2014: 87,50 %
2015: 87,50 %
2016: 87,50 %
2017: 77,77 %
2018: 77,77 %","2014: 12,50 %
2015: 12,50 %
2016: 12,50 %
2017: 22,22 %
2018: 22,22 %","946813054","Activa","http://www.domingoazpiri.com","Almacen de distribución de material para fontaneria.
Distribuidor oficial Roca.
Durango. -","","NO","No constan","540.910,89 €","9 (año 2018)","2018","Positivo Consultar","Durango"
